,Hotel_Name,Price,Room_type,Location,City,No. of Reviews,Rating,Distance from centre (km),Breakfast,Cancellation
3861,Tivoli Grand Resort,4323,Deluxe Double Room,"North Delhi, New Delhi",New Delhi,33,5.2,18.0,Not included,No Free cancellation
3862,Hotel Aerocity Golden,886,Budget Double Room,"Mahipalpur, New Delhi",New Delhi,5,8.2,13.0,Not included,No Free cancellation
3863,Hotel Peetar Wood,1619,Double Room,"Chanakyapuri, New Delhi",New Delhi,1,1.0,6.7,Breakfast included,No Free cancellation
3864,Super OYO Hotel O Raas Near Near Laxmi nagar metro station,942,Classic Triple Room,"East Delhi, New Delhi",New Delhi,40,5.2,5.6,Not included,Free cancellation
3865,Super Townhouse 094 HOTEL MORO,1573,Classic Triple Room,"Pashim Vihar, New Delhi",New Delhi,1,10.0,13.0,Not included,Free cancellation
3866,Hotel Raj Palace Mahipalpur Near IGI Airport Delhi,2649,Deluxe Double Room,"Mahipalpur, New Delhi",New Delhi,27,7.7,13.0,Not included,No Free cancellation
3867,Hotel Kelvish Free Airport Pickup,2890,Double Room with Private Bathroom,New Delhi,New Delhi,144,8.7,14.0,Breakfast included,No Free cancellation
3868,Hotel Konark Stay Near IGI Airport New Delhi,719,Deluxe Room (1 adult + 2 children),"Mahipalpur, New Delhi",New Delhi,19,7.9,13.0,Not included,No Free cancellation
3869,Hotel Swathi - Paschim Vihar,2300,Deluxe Double Room with Shower,"Pashim Vihar, New Delhi",New Delhi,4,7.3,11.0,Not included,No Free cancellation
3870,Hotel Golden Place,1350,Deluxe Room,"Malviya Nagar, New Delhi",New Delhi,1,3.0,11.0,Not included,No Free cancellation
3871,The Aziz Residency,2025,Double Room,New Delhi,New Delhi,12,7.3,5.2,Not included,No Free cancellation
3872,Family Hotel By PG International,1080,Deluxe Twin Room,"Paharganj, New Delhi",New Delhi,33,7.8,1.2,Not included,No Free cancellation
3873,"Crowne Plaza New Delhi Rohini, an IHG Hotel",20378,Standard Twin Room - Smoking,"Rohini, New Delhi",New Delhi,879,8.1,14.0,Not included,No Free cancellation
3874,Olive Serviced Apartments - New Friends Colony,5165,Standard King Room,"New Friends Colony, New Delhi",New Delhi,5,9.8,9.0,Not included,No Free cancellation
3875,HOTEL ASKO INTERNATIONAL-Karol Bagh,2608,Deluxe Double Room,"Karol bagh, New Delhi",New Delhi,28,6.5,3.6,Not included,No Free cancellation
3876,Hotel Sky Rich International - 05 Mins from Karol Bagh Metro Station,5400,Family Room,"Karol bagh, New Delhi",New Delhi,290,7.0,3.5,Not included,Free cancellation
3877,Airport Hotel The Grand Shoba,4059,Standard Double Room,"Mahipalpur, New Delhi",New Delhi,14,6.5,12.0,Breakfast included,No Free cancellation
3878,Hotel Sai Miracle - New Delhi,1777,Deluxe Double Room,"Paharganj, New Delhi",New Delhi,89,7.2,1.4,Not included,Free cancellation
3879,FabHotel Sentinel Suites,2922,Deluxe Room,"Safdarjung Enclave, New Delhi",New Delhi,44,5.4,8.2,Not included,No Free cancellation
3880,Hotel Aiims,944,Double Room,"Malviya Nagar, New Delhi",New Delhi,45,8.1,11.0,Not included,No Free cancellation
3881,Super Townhouse 654,812,Standard Double Room,"Rohini, New Delhi",New Delhi,61,5.5,15.0,Breakfast included,Free cancellation
3882,FabExpress ASP Royal Residency Inn,2499,Deluxe Room,"Janakpuri, New Delhi",New Delhi,61,6.8,13.0,Not included,No Free cancellation
3883,Hotel 24BY7,959,Double Room with Private Bathroom,"Malviya Nagar, New Delhi",New Delhi,19,9.2,11.0,Not included,No Free cancellation
3884,Hotel Bramhaputra Near New Delhi Railway Station,1594,Double Room with Private Bathroom,"Paharganj, New Delhi",New Delhi,87,6.1,1.3,Not included,No Free cancellation
3885,Hotel O M B residency,1002,Triple Room with Bathroom,"West Delhi, New Delhi",New Delhi,0,7.0306546644844525,16.0,Not included,Free cancellation
3886,Hotel Anutham at Saket,1964,Double Room,"Saket, New Delhi",New Delhi,19,4.2,12.0,Not included,No Free cancellation
3887,FabHotel Ishtara Auberge,2031,Superior Double Room,"South West, New Delhi",New Delhi,21,7.5,15.0,Not included,No Free cancellation
3888,Hotel S R Palace Near Delhi International Airport,1069,Deluxe Double Room,"Mahipalpur, New Delhi",New Delhi,52,8.2,13.0,Not included,No Free cancellation
3889,Hotel Tela INN Plaza Near IGI Airport,999,Deluxe Double Room,New Delhi,New Delhi,8,8.2,14.0,Breakfast included,No Free cancellation
3890,Phoenix Luxe Roooms,3000,Double Room with Balcony,"Jasola, New Delhi",New Delhi,0,7.0306546644844525,12.0,Breakfast included,No Free cancellation
3891,Hotel Edg Plaza At New Delhi International Airport,645,Budget Double Room,"Mahipalpur, New Delhi",New Delhi,6,7.8,13.0,Not included,No Free cancellation
3892,Hotel olive Aero suites Delhi airport,1147,Deluxe Double Room,New Delhi,New Delhi,21,8.7,14.0,Breakfast included,No Free cancellation
3893,Red Blu Inn -Near Delhi Airport,1253,Double Room,"Mahipalpur, New Delhi",New Delhi,0,7.0306546644844525,14.0,Breakfast included,No Free cancellation
3894,Hotel New Krone Suite Plaza Near IGI Airport,1889,Double Room,"Aerocity, New Delhi",New Delhi,0,7.0306546644844525,13.0,Breakfast included,No Free cancellation
3895,Hotel Sky View At Airport,1079,Superior Double Room,New Delhi,New Delhi,8,8.6,15.0,Breakfast included,No Free cancellation
3896,EL DE Atlantes Suites Near Delhi Airport,1094,Superior King Room,New Delhi,New Delhi,7,10.0,14.0,Breakfast included,No Free cancellation
3897,Hotel Livasa Inn Near BLK Hospital,3400,Deluxe Room,"Karol bagh, New Delhi",New Delhi,12,4.2,4.0,Not included,No Free cancellation
3898,Hotel O Saffron-Blu Residence,821,Classic Triple Room,"East Delhi, New Delhi",New Delhi,0,7.0306546644844525,5.8,Not included,Free cancellation
3899,Hotel Mota Elephant,1109,Double Room,"Dwarka, New Delhi",New Delhi,0,7.0306546644844525,19.0,Breakfast included,No Free cancellation
3900,"The Grace Hotel Near IGI Airport, New Delhi",1206,Deluxe Room,"Mahipalpur, New Delhi",New Delhi,50,6.7,13.0,Not included,No Free cancellation
3901,Hotel Express,2272,Double Room,"Paharganj, New Delhi",New Delhi,6,9.7,1.3,Not included,No Free cancellation
3902,Hotel City Lite,693,Deluxe Room,New Delhi,New Delhi,13,8.6,14.0,Breakfast included,No Free cancellation
3903,Hotel Grand Tower Near IGI Airport Delhi,968,Double Room,"Mahipalpur, New Delhi",New Delhi,0,7.0306546644844525,13.0,Breakfast included,No Free cancellation
3904,Hotel Su Shree Continental 5 Minutes Walk From New Delhi Railway Station,1750,Super Deluxe Double Room,"Paharganj, New Delhi",New Delhi,346,7.5,1.4,Not included,No Free cancellation
3905,Hotel in Patparganj,1529,Double Room,"East Delhi, New Delhi",New Delhi,0,7.0306546644844525,7.5,Not included,No Free cancellation
3906,Super Hotel O Hare rama guest house,1100,Classic Triple Room,"Paharganj, New Delhi",New Delhi,0,7.0306546644844525,1.2,Not included,Free cancellation
3907,Hotel Delhi Airport Plaza IGI Airport,1122,Deluxe Double Room,"Mahipalpur, New Delhi",New Delhi,4,6.0,13.0,Breakfast included,No Free cancellation
3908,Hotel Ambica Palace AIIMS New Delhi - Couple Friendly Local ID Accepted,9059,Deluxe Room,"Safdarjung Enclave, New Delhi",New Delhi,221,6.2,7.7,Not included,No Free cancellation
3909,RR Residency,2700,Deluxe Double Room,"Janakpuri, New Delhi",New Delhi,58,7.5,13.0,Breakfast included,No Free cancellation
3910,Hotel Chanchal Continental,1299,Standard Double Room,"Paharganj, New Delhi",New Delhi,291,7.9,1.3,Not included,No Free cancellation
3911,Airport Hotel Port View,1200,Deluxe Room,"Mahipalpur, New Delhi",New Delhi,5,8.2,13.0,Breakfast included,No Free cancellation
3912,GRAND HOMESTAY,1629,Deluxe Double Room (2 Adults + 1 Child),"Mahipalpur, New Delhi",New Delhi,49,8.4,13.0,Not included,No Free cancellation
3913,Hotel Lookout Stay Delhi IGI Airport,874,Deluxe Room,New Delhi,New Delhi,6,7.7,13.0,Not included,No Free cancellation
3914,Hotel O Silver stone,868,Classic Triple Room,"Rohini, New Delhi",New Delhi,0,7.0306546644844525,14.0,Not included,Free cancellation
3915,Hotel Arina Inn,2299,Deluxe Double Room,"Dariyaganj, New Delhi",New Delhi,31,5.5,2.0,Not included,No Free cancellation
3916,Hotel Noida International - opposite Mercedes Showroom Noida Sector 11,1799,Double Room,New Delhi,New Delhi,17,5.7,11.0,Not included,No Free cancellation
3917,The Sky Edge EL CIELO,3299,Superior Suite with Sea View,New Delhi,New Delhi,3,9.3,13.0,Not included,No Free cancellation
3918,Hotel Pawan Plaza Near Sir Ganga Ram Hospital,2100,Deluxe Double or Twin Room,"Karol bagh, New Delhi",New Delhi,92,6.8,3.9,Not included,No Free cancellation
3919,Hotel Soft Petal Residency Near Delhi International Airport,806,Double Room,"Mahipalpur, New Delhi",New Delhi,40,8.3,13.0,Not included,No Free cancellation
3920,Hotel Monalisha,2969,Double Room,New Delhi,New Delhi,0,7.0306546644844525,15.0,Breakfast included,No Free cancellation
3921,Hotel O Westend inn,801,Classic Triple Room,"South Delhi, New Delhi",New Delhi,0,7.0306546644844525,13.0,Not included,Free cancellation
3922,Hotel embassy international,810,Double Room with Balcony,New Delhi,New Delhi,0,7.0306546644844525,15.0,Breakfast included,No Free cancellation
3923,FabHotel Grand Stay,2779,Deluxe Room,New Delhi,New Delhi,50,6.5,8.3,Not included,No Free cancellation
3924,PEACE POINT FAMILY HOTEL By AKJ,1397,Double or Twin Room,"Paharganj, New Delhi",New Delhi,54,7.5,1.3,Breakfast included,No Free cancellation
3925,Hotel Anand Inn- Near IGI Airport,3194,Deluxe Room,"Mahipalpur, New Delhi",New Delhi,54,6.9,13.0,Not included,No Free cancellation
3926,Super OYO Hotel O Comfort,956,Classic Triple Room,"West Delhi, New Delhi",New Delhi,5,4.6,17.0,Not included,Free cancellation
3927,Hotel Mourya Deluxe,1786,Deluxe Room,"Central Delhi, New Delhi",New Delhi,4,1.0,1.8,Not included,No Free cancellation
3928,Opulent by Udman Chhattarpur,63750,Deluxe Double Room,"South Delhi, New Delhi",New Delhi,80,6.2,18.0,Not included,No Free cancellation
3929,Hotel Namo,2291,Double Room,New Delhi,New Delhi,0,7.0306546644844525,15.0,Breakfast included,No Free cancellation
3930,A1ROOMS BY Family Stay Hotel,1215,Deluxe King Room,"Paharganj, New Delhi",New Delhi,82,8.6,1.1,Not included,No Free cancellation
3931,Stay in Delhi,1799,Double Room,"East Delhi, New Delhi",New Delhi,0,7.0306546644844525,7.4,Not included,No Free cancellation
3932,Hermitage by The Cosy Hotels Near Lotus Temple,5250,Deluxe Double or Twin Room,New Delhi,New Delhi,18,7.7,9.0,Not included,No Free cancellation
3933,FabHotel VAT - Meera Bagh,1579,Deluxe Room,"Pashim Vihar, New Delhi",New Delhi,53,6.9,13.0,Not included,No Free cancellation
3934,Hotel Golden Bliss Near Delhi International Airport,693,Budget Double Room,"Mahipalpur, New Delhi",New Delhi,67,6.9,13.0,Not included,No Free cancellation
3935,FabExpress Llyod Residency,2054,Deluxe Room,New Delhi,New Delhi,84,6.5,10.0,Not included,No Free cancellation
3936,Hotel Mark Near IGI Airport,870,Double Room,New Delhi,New Delhi,16,7.7,14.0,Breakfast included,No Free cancellation
3937,HOTEL PITRASHISH PRIDE IGI Intl AIRPORT DELHI,4703,Deluxe Room,"South West, New Delhi",New Delhi,11,6.7,17.0,Not included,No Free cancellation
3938,Hotel D'Capitol - Delhi Airport,1889,Deluxe King Room,New Delhi,New Delhi,0,7.8,14.0,Not included,No Free cancellation
3939,Hotel Almora Inn Near Delhi IGI Airport,2303,Deluxe Room (2 Adults + 1 Child),"Mahipalpur, New Delhi",New Delhi,243,8.0,13.0,Not included,Free cancellation
3940,Collection O Harmony Stay,556,Classic Triple Room,"Mahipalpur, New Delhi",New Delhi,0,7.0306546644844525,12.0,Not included,Free cancellation
3941,Frankstay by Hotel Satwah 29 Unit By Preet Palac,1650,King Room,New Delhi,New Delhi,11,5.9,6.4,Not included,No Free cancellation
3942,Elite hotels,1349,Deluxe Double Room,"South West, New Delhi",New Delhi,2,7.5,15.0,Not included,No Free cancellation
3943,Iconic Stay Near Delhi International Airport,1644,Double Room,New Delhi,New Delhi,56,8.2,14.0,Not included,No Free cancellation
3944,Divine Paradise Tavisha,4319,Deluxe Double or Twin Room,"New Friends Colony, New Delhi",New Delhi,135,6.8,8.0,Not included,No Free cancellation
3945,HOTEL MAX,809,Double Room,"South Delhi, New Delhi",New Delhi,56,7.3,10.0,Not included,No Free cancellation
3946,Hotel Westend Holiday Home 5 mint from Nizamuddin Railway Station,1553,Standard Double Room,New Delhi,New Delhi,249,5.4,6.2,Not included,No Free cancellation
3947,Hotel Delhi Darbar,1170,Deluxe Double Room,"Karol bagh, New Delhi",New Delhi,1,1.0,3.5,Not included,No Free cancellation
3948,Shanti Residency,2223,Standard King Room,New Delhi,New Delhi,65,6.8,10.0,Not included,No Free cancellation
3949,Hotel Opera Delhi Airport,2400,Deluxe Double Room,"Aerocity, New Delhi",New Delhi,9,8.6,13.0,Not included,No Free cancellation
3950,Hotel BMT franco,1796,Double Room,New Delhi,New Delhi,0,7.0306546644844525,8.1,Breakfast included,No Free cancellation
3951,Hotel Golden - Premiums Rooms in South Extension,3419,Deluxe Double Room,New Delhi,New Delhi,0,7.0306546644844525,6.7,Not included,No Free cancellation
3952,Airport Hotel Golden Bliss Near Delhi Airport,1117,Budget Double Room,"Mahipalpur, New Delhi",New Delhi,211,5.9,13.0,Not included,No Free cancellation
3953,Hotel Jindgi Love,2069,Double Room,New Delhi,New Delhi,0,7.0306546644844525,16.0,Breakfast included,No Free cancellation
3954,Hotel O Happy Residency,552,Classic Triple Room,"South Delhi, New Delhi",New Delhi,6,3.0,13.0,Not included,Free cancellation
3955,Hotel O Sunny retreat Inn B&B,2655,Classic Triple Room,"East Delhi, New Delhi",New Delhi,0,7.0306546644844525,6.8,Not included,Free cancellation
3956,Hotel Stay Villa Delhi Airport,1274,Deluxe Double Room,New Delhi,New Delhi,11,8.4,14.0,Breakfast included,No Free cancellation
3957,The Pamposh Hotel,8414,Superior Double Room,New Delhi,New Delhi,37,6.1,10.0,Not included,No Free cancellation
3958,Hotel Sapphire Inn By ASR Hospitality,1890,Budget Double Room,"Paharganj, New Delhi",New Delhi,54,6.3,1.0,Not included,No Free cancellation
3959,Hotel Aeroporto,3000,Deluxe Room,New Delhi,New Delhi,262,5.7,14.0,Breakfast included,Free cancellation
3960,Hotel ALVAA International Near IGI airport,1385,Superior Double Room,New Delhi,New Delhi,48,7.7,14.0,Breakfast included,No Free cancellation
3961,Hotel Karlo Kastle - Paharganj - New Delhi,1624,Deluxe Double Room,"Paharganj, New Delhi",New Delhi,55,6.9,1.3,Not included,No Free cancellation
3962,Hotel O Kanha palace,644,Classic Triple Room,New Delhi,New Delhi,2,4.0,7.2,Not included,Free cancellation
3963,Hotel in Surajkund Faridabad,1169,Double Room,New Delhi,New Delhi,0,7.0306546644844525,17.0,Not included,No Free cancellation
3964,Hotel O Mahak Palace,510,Classic Triple Room,"Mahipalpur, New Delhi",New Delhi,1,8.0,13.0,Not included,Free cancellation
3965,Hotel O Silver Key KD plaza Near Saket Metro station,763,Classic Triple Room,"South Delhi, New Delhi",New Delhi,3,5.3,14.0,Not included,Free cancellation
3966,FabHotel Sunrise Villa,1532,Deluxe Room,New Delhi,New Delhi,4,6.8,11.0,Not included,No Free cancellation
3967,Hotel VVS Near Delhi Airport,1699,Deluxe Double or Twin Room,"Aerocity, New Delhi",New Delhi,93,8.2,13.0,Not included,No Free cancellation
3968,Hotel O Le Empire Stay House,902,Classic Triple Room,"North Delhi, New Delhi",New Delhi,0,7.0306546644844525,6.7,Not included,Free cancellation
3969,Hotel Shivaka Inn - Delhi Airport,1699,Deluxe Room,"Aerocity, New Delhi",New Delhi,0,7.0306546644844525,13.0,Not included,No Free cancellation
3970,Hotel O Rohini Sector 20 Near Maharaja Agrasen Institute,823,Classic Triple Room,"Rohini, New Delhi",New Delhi,0,7.0306546644844525,16.0,Not included,Free cancellation
3971,Hotel Silver Palaza,4950,Deluxe Double Room (2 Adults + 1 Child),New Delhi,New Delhi,0,7.0306546644844525,7.6,Not included,No Free cancellation
3972,Hotel Raj Stay,1999,Deluxe Double Room (2 Adults + 1 Child),"South Delhi, New Delhi",New Delhi,0,7.0306546644844525,21.0,Not included,No Free cancellation
3973,Kiran Taer,875,Double Room,"Mahipalpur, New Delhi",New Delhi,0,7.0306546644844525,13.0,Breakfast included,No Free cancellation
3974,"Taj Mahal, New Delhi",31500,Luxury Room City View King Room,New Delhi,New Delhi,0,9.1,3.3,Not included,No Free cancellation
3975,Hotel O Gem 92,998,Classic Triple Room,New Delhi,New Delhi,89,5.1,10.0,Not included,Free cancellation
3976,Hotel Happy Stay-Delhi Airport,1680,Deluxe King Room,New Delhi,New Delhi,9,9.9,14.0,Breakfast included,No Free cancellation
3977,Hotel ECG Grand Inn,1169,Superior Double Room,"Mahipalpur, New Delhi",New Delhi,5,9.2,13.0,Not included,No Free cancellation
3978,Super Capital O The Arrow Near rithala metro,706,Classic Triple Room,"Rohini, New Delhi",New Delhi,42,5.5,15.0,Not included,Free cancellation
3979,Red Crown Hotel,1599,Deluxe Room,"Mahipalpur, New Delhi",New Delhi,16,5.7,13.0,Not included,No Free cancellation
3980,Bunk Hostel Delhi Best Backpacking Accommodation,1243,Deluxe Double Room,"Paharganj, New Delhi",New Delhi,190,6.7,1.4,Not included,No Free cancellation
3981,Super Townhouse THE ARROW Near Lotus Temple,839,Classic Triple Room,New Delhi,New Delhi,1,1.0,12.0,Not included,Free cancellation
3982,Hotel Royal Ocean Suites Near Delhi Airport,1482,Standard King Room,New Delhi,New Delhi,1,1.0,14.0,Breakfast included,No Free cancellation
3983,Hotel Airport villa,1079,Double Room with Balcony,"Mahipalpur, New Delhi",New Delhi,2,9.5,13.0,Breakfast included,No Free cancellation
3984,Hotel Premium Room Near Hazrat Nizamuddin railway station,1799,Standard Double Room,New Delhi,New Delhi,28,5.9,6.9,Not included,Free cancellation
3985,Hotel Trending Stay,1259,Deluxe Room (2 Adults + 1 Child),"New Friends Colony, New Delhi",New Delhi,11,3.6,9.8,Not included,No Free cancellation
3986,Hotel Nishka Residancy,1200,Double Room,"South West, New Delhi",New Delhi,4,8.5,15.0,Not included,No Free cancellation
3987,Hotel Elegant International,1346,Budget Double or Twin Room,"Karol bagh, New Delhi",New Delhi,8,3.6,3.5,Not included,No Free cancellation
3988,Radisson Blu Hotel New Delhi Paschim Vihar,11000,"Business class Room with King bed,Bath Tub and 15% discount on laundry","Pashim Vihar, New Delhi",New Delhi,0,6.1,13.0,Not included,No Free cancellation
3989,"Hotel Sterling Inn, New Delhi",1080,Deluxe Double Room,"Paharganj, New Delhi",New Delhi,183,6.8,1.1,Not included,No Free cancellation
3990,Hotel Applewood Residency - Offering Free Airport Drop,1814,Deluxe Double Room,New Delhi,New Delhi,37,6.6,14.0,Breakfast included,Free cancellation
3991,Hotel Maharani Lodge,1679,Standard Double Room with Fan,"Paharganj, New Delhi",New Delhi,105,7.0,1.4,Not included,No Free cancellation
3992,Hotel Sai Group,1259,Double Room,"Mahipalpur, New Delhi",New Delhi,5,9.2,12.0,Not included,No Free cancellation
3993,Hotel Snow White - Near R K Ashram Metro Station Paharganj,2209,Standard Double Room,"Paharganj, New Delhi",New Delhi,0,7.0306546644844525,1.5,Not included,No Free cancellation
3994,Hotel Amenda Delhi IGI Airport International Mahipalpur,1625,Superior King Suite,"Mahipalpur, New Delhi",New Delhi,42,6.9,13.0,Breakfast included,No Free cancellation
3995,saffron inn paharganj,1299,Twin Room with Private Bathroom,"Paharganj, New Delhi",New Delhi,16,5.6,1.1,Breakfast included,No Free cancellation
3996,FabExpress Premium Rooms Near Yashobhoomi,1095,Deluxe Room,"Dwarka, New Delhi",New Delhi,63,7.1,17.0,Not included,No Free cancellation
3997,Hotel HC Grand,2500,Deluxe Double Room (2 Adults + 1 Child),"Jasola, New Delhi",New Delhi,3,6.3,12.0,Not included,No Free cancellation
3998,Hotel Mandakini Palace,1950,Deluxe Room,"Karol bagh, New Delhi",New Delhi,10,6.6,3.2,Not included,No Free cancellation
3999,New Royal Hotel,1600,Budget Double Room,"Central Delhi, New Delhi",New Delhi,4,2.8,2.9,Not included,No Free cancellation
4000,Vishal Hotel By Comfort Rooms,994,Double or Twin Room,"Paharganj, New Delhi",New Delhi,3,1.0,1.2,Not included,No Free cancellation
4001,Hotel SP Residency Near International IGI Airport Delhi,824,Deluxe Double Room,"Mahipalpur, New Delhi",New Delhi,14,9.3,13.0,Breakfast included,No Free cancellation
4002,Hotel O Mahipalpur Inn,613,Classic Triple Room,"Mahipalpur, New Delhi",New Delhi,3,1.0,13.0,Not included,Free cancellation
4003,Hotel Picasso Paschim Vihar Delhi - Couple Friendly Local IDs Accepted,4650,Economy Double Room,"Pashim Vihar, New Delhi",New Delhi,92,7.0,13.0,Not included,No Free cancellation
4004,Devine Residency Near Delhi IGI Airport,440,Deluxe Room,"South West, New Delhi",New Delhi,6,7.2,17.0,Not included,No Free cancellation
4005,Hotel Dollar Inn,1999,Standard Double or Twin Room,"Paharganj, New Delhi",New Delhi,102,6.4,1.1,Not included,No Free cancellation
4006,HOTEL LUXURY PALACE IGI Airport,1259,Deluxe King Room,New Delhi,New Delhi,14,6.9,13.0,Not included,No Free cancellation
4007,Hotel Blue Bell -Naiwala market Karol Bagh Delhi,3600,Executive Double or Twin Room,"Karol bagh, New Delhi",New Delhi,53,6.6,2.8,Not included,No Free cancellation
4008,Hotel Majors Den,1087,Standard Double Room with Fan,"Paharganj, New Delhi",New Delhi,44,7.5,1.3,Not included,No Free cancellation
4009,FabHotel Aman Inn Near IGI Airport New Delhi,1433,Deluxe Room,"Mahipalpur, New Delhi",New Delhi,31,6.1,13.0,Not included,No Free cancellation
4010,Backpackers Heaven New King - New Delhi Train Station,1354,Deluxe Double Room,"Paharganj, New Delhi",New Delhi,551,7.0,1.1,Not included,No Free cancellation
4011,Hotel Kingston Park near Ganga Ram Hospital,1800,Compact Room,"Karol bagh, New Delhi",New Delhi,47,6.3,3.1,Not included,No Free cancellation
4012,Hotel O Harmony Palace,1634,Classic Triple Room,New Delhi,New Delhi,0,7.0306546644844525,15.0,Not included,Free cancellation
4013,Family SPOT,945,Double Room,"Paharganj, New Delhi",New Delhi,0,7.0306546644844525,1.0,Not included,No Free cancellation
4014,Super Hotel O JMK,1195,Classic Triple Room,New Delhi,New Delhi,0,7.0306546644844525,15.0,Not included,Free cancellation
4015,The Suryaa New Delhi,106250,"Luxury Suite with complimentary breakfast, 15% Discount on F&B ,3 pints of beer at Atrium Bar, Two way Airport Transfer","New Friends Colony, New Delhi",New Delhi,0,7.5,9.4,Breakfast included,No Free cancellation
4016,The Lagos Near US Embassy Delhi,1185,Budget Double Room,New Delhi,New Delhi,5,1.0,7.5,Breakfast included,No Free cancellation
4017,MT Olinza,2099,Deluxe Double Room (2 Adults + 1 Child),"Mahipalpur, New Delhi",New Delhi,0,7.0306546644844525,14.0,Breakfast included,No Free cancellation
4018,Hotel Hans New Delhi Railway Station,799,Standard Double Room with Fan,"Paharganj, New Delhi",New Delhi,6,3.2,1.5,Not included,No Free cancellation
4019,Hotel BluSky GaganVihar,2138,Double Room,"East Delhi, New Delhi",New Delhi,9,4.9,7.4,Breakfast included,No Free cancellation
4020,HOTEL ROYAL AFGHAN,2069,Deluxe Double Room,"Dariyaganj, New Delhi",New Delhi,22,5.6,2.1,Not included,No Free cancellation
4021,hotel Priya Palace BY BYOB Hotels,2429,Triple Room,"Paharganj, New Delhi",New Delhi,74,7.4,1.4,Not included,No Free cancellation
4022,THE BONLON INN-NEAR BLK HOSPITAL,2633,Deluxe Double Room,"Karol bagh, New Delhi",New Delhi,100,7.1,4.0,Breakfast included,No Free cancellation
4023,Hotel CLASSIC Near Delhi Airport -Unit of ISHAAN HOSPITALITY,1052,Deluxe Double Room with Balcony,"Mahipalpur, New Delhi",New Delhi,23,9.4,13.0,Breakfast included,No Free cancellation
4024,"The Imperial, New Delhi",32477,Imperial Room,"Connaught Place, New Delhi",New Delhi,0,9.4,1.3,Not included,No Free cancellation
4025,Hotel King Plaza,680,Deluxe Room,New Delhi,New Delhi,630,6.8,14.0,Breakfast included,Free cancellation
4026,The Delhi Pride Mayur Vihar,1103,Standard Double Room,"East Delhi, New Delhi",New Delhi,0,7.0306546644844525,10.0,Not included,No Free cancellation
4027,Hotel Krishna By The Premium Villa,1113,Double Room,"Dwarka, New Delhi",New Delhi,4,7.3,18.0,Not included,No Free cancellation
4028,Hotel Clayton Plaza Delhi Airport,1050,King Room,New Delhi,New Delhi,10,10.0,14.0,Breakfast included,No Free cancellation
4029,Hotel Tourist Palace,1206,Budget Double Room,"Mahipalpur, New Delhi",New Delhi,92,7.5,13.0,Not included,No Free cancellation
4030,FabHotel AK Villa,1622,Deluxe Room,New Delhi,New Delhi,0,7.0306546644844525,10.0,Not included,No Free cancellation
4031,"Nysha Palace, Mahipalpur, near Airport",1200,Economy Double Room,"Mahipalpur, New Delhi",New Delhi,104,7.6,13.0,Not included,No Free cancellation
4032,Hotel Baba Inn-By RCG Hotels,1875,Deluxe Room,"Paharganj, New Delhi",New Delhi,59,7.2,1.3,Not included,No Free cancellation
4033,Hotel O ASP ROYAL RESIDENCY,1778,Classic Triple Room,"West Delhi, New Delhi",New Delhi,0,7.0306546644844525,15.0,Not included,Free cancellation
4034,Hotel Premium Grand,1939,Double Room,New Delhi,New Delhi,0,7.0306546644844525,14.0,Breakfast included,No Free cancellation
4035,Hotel Amenda International,1142,Deluxe Room,"Mahipalpur, New Delhi",New Delhi,0,7.0306546644844525,13.0,Not included,No Free cancellation
4036,B - Llions Old Delhi Gurgaon Rd Hotel,1235,Standard King Room,"South West, New Delhi",New Delhi,0,7.0306546644844525,18.0,Not included,No Free cancellation
4037,Hotel the royal Oakes,3500,Deluxe Double Room (2 Adults + 1 Child),New Delhi,New Delhi,15,8.7,8.6,Not included,No Free cancellation
4038,OYO Hotel Silver Shine Near Gurudwara Shri Bangla Sahib,2558,Classic Triple Room,"Paharganj, New Delhi",New Delhi,17,2.5,1.4,Breakfast included,Free cancellation
4039,Hotel O JPS DC RESIDENCY,834,Classic Triple Room,"West Delhi, New Delhi",New Delhi,3,6.0,14.0,Not included,Free cancellation
4040,FabExpress Aerosky Boutique,1861,Deluxe Room,"Dwarka, New Delhi",New Delhi,65,6.7,18.0,Not included,No Free cancellation
4041,Hotel Swapnil International,1500,Double Room with Private Bathroom,"Mahipalpur, New Delhi",New Delhi,0,7.0306546644844525,13.0,Not included,No Free cancellation
4042,Premium Hotel Deoli Khanpur,1099,Standard Double Room,"South Delhi, New Delhi",New Delhi,1,10.0,13.0,Not included,No Free cancellation
4043,Hotel Prime City Maxx A family Hotel Near IGI Airport,3899,Deluxe Room,New Delhi,New Delhi,0,7.0306546644844525,14.0,Breakfast included,No Free cancellation
4044,Haveli Dharampura - UNESCO awarded Boutique Heritage Hotel,20500,Jahan Ara - Golden Haveli,"Central Delhi, New Delhi",New Delhi,713,8.5,2.3,Breakfast included,No Free cancellation
4045,Hotel Prince Palace Deluxe - Paharganj - New Delhi,1264,Deluxe Double Room,"Paharganj, New Delhi",New Delhi,16,3.8,1.3,Not included,No Free cancellation
4046,Hotel Indraprastha,2856,Deluxe Room,"Karol bagh, New Delhi",New Delhi,4,10.0,3.4,Not included,No Free cancellation
4047,Hotel kian,2028,Double Room,"Mahipalpur, New Delhi",New Delhi,21,8.3,13.0,Not included,No Free cancellation
4048,Vacation Retreat B & B Near Delhi Airport,1169,Deluxe Double or Twin Room,New Delhi,New Delhi,144,7.9,14.0,Breakfast included,No Free cancellation
