,Hotel_Name,Price,Room_type,Location,City,No. of Reviews,Rating,Distance from centre (km),Breakfast,Cancellation
6133,ZEKE HOTELS,1940,Suite with Garden View,"Hennur, Bangalore",Banglore,15,5.3,7.5,Breakfast included,Free cancellation
6134,"Treebo Nandi Comforts, Peenya",1702,Standard Room With Working desk,Bangalore,Banglore,21,6.6,11.0,Breakfast included,No Free cancellation
6135,Nalapad's Hotel Bangalore International,5249,Deluxe Room,"Gandhi nagar, Bangalore",Banglore,93,6.4,2.6,Breakfast included,Free cancellation
6136,Hotel Saarang Forever,1193,Standard Double or Twin Room,"Yeshwantpur, Bangalore",Banglore,336,8.0,7.0,Not included,Free cancellation
6137,Davanam Sarovar Portico Suites,13600,Premium Suites,"Koramangala, Bangalore",Banglore,182,7.4,6.4,Not included,No Free cancellation
6138,Vanusa Residency,2926,Deluxe Double or Twin Room,"Gandhi nagar, Bangalore",Banglore,119,7.7,2.4,Not included,Free cancellation
6139,Raj Residency,2800,Standard Double Room,"Malleshwaram, Bangalore",Banglore,167,7.7,5.2,Not included,Free cancellation
6140,Hyatt Centric MG Road Bangalore,22500,King Room with View,"Ulsoor, Bangalore",Banglore,0,7.7,2.2,Not included,No Free cancellation
6141,Athasri Hotel HSR Layout,1800,Deluxe Room,"HSR Layout, Bangalore",Banglore,54,7.1,7.4,Not included,No Free cancellation
6142,Hotel Sigma Suites,1215,Deluxe Double Room,"Gandhi nagar, Bangalore",Banglore,299,7.8,2.8,Not included,Free cancellation
6143,Hotel JP Grand,2250,Deluxe Double Room,Bangalore,Banglore,18,8.3,16.0,Not included,No Free cancellation
6144,SpringPetals Serviced Apartments,3600,One-Bedroom Apartment,Bangalore,Banglore,17,8.4,8.7,Not included,Free cancellation
6145,Crown Inn,959,Budget Double Room,Bangalore,Banglore,364,5.9,3.4,Breakfast included,Free cancellation
6146,HOTEL ABOOZ,2464,Double Room,"Whitefield, Bangalore",Banglore,18,6.6,14.0,Not included,Free cancellation
6147,Stayhome Classic,1660,Standard Studio,Bangalore,Banglore,50,8.0,9.1,Not included,Free cancellation
